,株式コード,資本金,提出者名,提出者業種,残業時間,有休消化率,待遇面の満足度,社員の士気,風通しの良さ,社員の相互尊重,20代成長環境,人材の長期育成,法令遵守意識,人事評価の適正感,従業員数(連結),平均年齢,平均年収,設立年,上場年
146,4739.T,21764.0,伊藤忠テクノソリューションズ株式会社,情報・通信業,32.8,61.2,3.7,3.1,3.9,3.1,3.5,2.8,4.4,3.0,9308,40.7,9330,1979,1999
147,7011.T,265608.0,三菱重工業株式会社,機械,30.9,51.1,3.8,2.9,2.8,3.0,3.0,2.9,4.7,2.5,79974,41.3,8590,1950,1950
148,9502.T,430777.0,中部電力株式会社,電気・ガス業,28.5,62.7,3.9,2.7,3.1,3.6,2.4,3.0,4.8,2.7,28238,43.6,8490,1951,1951
149,3038.T,500.0,株式会社神戸物産,卸売業,22.3,83.2,2.7,3.1,2.8,2.5,2.6,2.6,3.0,2.9,1372,38.8,4840,1991,2006
150,1878.T,29060.0,大東建託株式会社,建設業,52.4,49.3,3.5,3.1,2.5,2.2,2.8,2.2,3.0,4.5,17892,43.5,7830,1974,1989
151,5019.T,168351.0,出光興産株式会社,石油・石炭製品,23.8,68.5,4.1,3.0,2.9,3.6,3.1,3.5,3.7,2.9,14044,43.1,8550,1940,2006
152,4005.T,89699.0,住友化学株式会社,化学,26.9,58.0,3.5,2.8,2.9,3.1,2.8,2.8,4.9,2.7,34743,41.0,8550,1925,1949
153,9531.T,141844.0,東京瓦斯株式会社,電気・ガス業,19.4,67.5,4.3,3.0,3.8,4.0,2.9,3.3,4.9,2.9,16988,42.3,6670,1885,1949
154,4204.T,100002.0,積水化学工業株式会社,化学,26.8,47.7,4.3,2.9,3.6,3.2,3.2,2.8,3.7,3.1,26486,43.0,8690,1947,1953
155,3281.T,,GLP投資法人,その他金融業,18.0,74.8,4.2,4.2,3.8,3.8,3.8,2.9,3.7,3.0,0,0,0,None,2012
156,3626.T,10001.0,ＴＩＳ株式会社,情報・通信業,27.3,63.7,2.9,2.9,3.9,3.3,3.2,2.9,4.6,3.1,22487,40.6,7170,2008,2008
157,2897.T,25122.0,日清食品ホールディングス株式会社,食料品,23.5,63.5,3.7,2.9,2.8,3.0,2.7,2.4,3.5,2.8,14184,40.4,8000,1948,1963
158,3003.T,62718.0,ヒューリック株式会社,不動産業,25.4,80.1,4.2,3.4,3.2,2.4,3.8,2.6,4.7,2.9,1648,39.4,17080,1931,1949
159,9435.T,54259.0,株式会社光通信,情報・通信業,36.3,44.8,2.7,3.4,3.1,2.9,4.3,1.9,3.1,4.3,6646,35.1,7380,1988,1996
160,9042.T,99474.0,阪急阪神ホールディングス株式会社,陸運業,22.3,52.6,3.7,3.0,3.2,3.4,2.8,2.9,4.3,2.6,23192,42.7,8640,1907,1949
